Show_ID,Type,Title,Director,Release_Date,Genre
s1,Movie,Netflix Title 1,Steven Spielberg,"Mar 2, 2022",Documentaries
s2,TV Show,Netflix Title 2,S.S. Rajamouli,"Mar 22, 2022",Dramas
s3,TV Show,Netflix Title 3,nan,"Jan 15, 2015",Comedies
s4,Movie,Netflix Title 4,Christopher Nolan,"Mar 24, 2017",Action
s5,Movie,Netflix Title 5,nan,"Jan 12, 2015",Action
s6,Movie,Netflix Title 6,Christopher Nolan,"Mar 5, 2022",Horror
s7,Movie,Netflix Title 7,Greta Gerwig,"Jan 8, 2023",Documentaries
s8,TV Show,Netflix Title 8,Christopher Nolan,"Mar 11, 2015",Horror
s9,Movie,Netflix Title 9,Steven Spielberg,"Jan 19, 2022",Dramas
s10,TV Show,Netflix Title 10,S.S. Rajamouli,"Mar 24, 2015",Action
s11,,,,,
s12,,,,,
s13,,,,,
s14,,,,,
s15,,,,,
s16,,,,,
s17,,,,,
s18,,,,,
s19,,,,,
s20,,,,,
s21,Movie,Netflix Title 21,Christopher Nolan,"Jan 4, 2018",Dramas
s22,Movie,Netflix Title 22,S.S. Rajamouli,"Feb 9, 2023",Comedies
s23,Movie,Netflix Title 23,Greta Gerwig,"Jan 26, 2021",Comedies
s24,Movie,Netflix Title 24,S.S. Rajamouli,"Feb 18, 2019",Comedies
s25,Movie,Netflix Title 25,nan,"Mar 8, 2016",Action
s26,TV Show,Netflix Title 26,Greta Gerwig,"Feb 13, 2019",Action
s27,Movie,Netflix Title 27,Steven Spielberg,"Mar 16, 2016",Action
s28,Movie,Netflix Title 28,S.S. Rajamouli,"Mar 10, 2015",Documentaries
s29,Movie,Netflix Title 29,Greta Gerwig,"Feb 23, 2023",Dramas
s30,Movie,Netflix Title 30,S.S. Rajamouli,"Jan 8, 2023",Horror
s31,Movie,Netflix Title 31,Greta Gerwig,"Feb 22, 2018",Documentaries
s32,Movie,Netflix Title 32,Christopher Nolan,"Feb 20, 2019",Dramas
s33,Movie,Netflix Title 33,S.S. Rajamouli,"Mar 14, 2015",Dramas
s34,TV Show,Netflix Title 34,Steven Spielberg,"Jan 3, 2021",Comedies
s35,TV Show,Netflix Title 35,Steven Spielberg,"Mar 17, 2023",Comedies
s36,TV Show,Netflix Title 36,nan,"Mar 18, 2019",Documentaries
s37,Movie,Netflix Title 37,Greta Gerwig,"Jan 21, 2022",Comedies
s38,Movie,Netflix Title 38,S.S. Rajamouli,"Feb 8, 2021",Dramas
s39,Movie,Netflix Title 39,nan,"Mar 12, 2020",Comedies
s40,Movie,Netflix Title 40,S.S. Rajamouli,"Feb 11, 2023",Action
s41,Movie,Netflix Title 41,Greta Gerwig,"Feb 13, 2016",Comedies
s42,Movie,Netflix Title 42,Steven Spielberg,"Feb 21, 2018",Dramas
s43,Movie,Netflix Title 43,Christopher Nolan,"Mar 18, 2017",Documentaries
s44,TV Show,Netflix Title 44,Steven Spielberg,"Mar 24, 2020",Horror
s45,Movie,Netflix Title 45,nan,"Mar 5, 2015",Comedies
s46,Movie,Netflix Title 46,Christopher Nolan,"Mar 22, 2017",Dramas
s47,Movie,Netflix Title 47,nan,"Mar 7, 2023",Horror
s48,Movie,Netflix Title 48,Greta Gerwig,"Jan 15, 2022",Horror
s49,Movie,Netflix Title 49,Christopher Nolan,"Feb 26, 2022",Action
s50,Movie,Netflix Title 50,nan,"Jan 12, 2019",Horror
s51,TV Show,Netflix Title 51,Greta Gerwig,"Mar 1, 2018",Dramas
s52,TV Show,Netflix Title 52,Steven Spielberg,"Mar 10, 2016",Dramas
s53,TV Show,Netflix Title 53,Greta Gerwig,"Mar 25, 2019",Comedies
s54,TV Show,Netflix Title 54,S.S. Rajamouli,"Feb 7, 2016",Comedies
s55,Movie,Netflix Title 55,Greta Gerwig,"Jan 16, 2023",Comedies
s56,TV Show,Netflix Title 56,Greta Gerwig,"Feb 10, 2020",Horror
s57,Movie,Netflix Title 57,S.S. Rajamouli,"Jan 14, 2023",Horror
s58,Movie,Netflix Title 58,nan,"Feb 21, 2023",Action
s59,Movie,Netflix Title 59,nan,"Mar 16, 2017",Comedies
s60,Movie,Netflix Title 60,Greta Gerwig,"Mar 23, 2020",Documentaries
s61,Movie,Netflix Title 61,S.S. Rajamouli,"Mar 5, 2018",Action
s62,Movie,Netflix Title 62,S.S. Rajamouli,"Mar 4, 2018",Documentaries
s63,TV Show,Netflix Title 63,Steven Spielberg,"Feb 24, 2020",Horror
s64,Movie,Netflix Title 64,nan,"Mar 26, 2019",Action
s65,Movie,Netflix Title 65,Christopher Nolan,"Feb 21, 2020",Action
s66,Movie,Netflix Title 66,nan,"Mar 21, 2020",Dramas
s67,Movie,Netflix Title 67,nan,"Feb 4, 2023",Horror
s68,TV Show,Netflix Title 68,Steven Spielberg,"Jan 20, 2015",Horror
s69,Movie,Netflix Title 69,Christopher Nolan,"Mar 7, 2018",Action
s70,TV Show,Netflix Title 70,Steven Spielberg,"Jan 14, 2017",Horror
s71,TV Show,Netflix Title 71,Christopher Nolan,"Jan 16, 2021",Action
s72,Movie,Netflix Title 72,Greta Gerwig,"Feb 24, 2016",Dramas
s73,Movie,Netflix Title 73,Christopher Nolan,"Feb 18, 2017",Action
s74,TV Show,Netflix Title 74,Steven Spielberg,"Mar 19, 2015",Horror
s75,TV Show,Netflix Title 75,nan,"Mar 14, 2017",Horror
s76,TV Show,Netflix Title 76,Christopher Nolan,"Feb 24, 2020",Action
s77,TV Show,Netflix Title 77,Christopher Nolan,"Jan 4, 2017",Action
s78,Movie,Netflix Title 78,S.S. Rajamouli,"Jan 4, 2021",Action
s79,Movie,Netflix Title 79,nan,"Jan 23, 2015",Comedies
s80,Movie,Netflix Title 80,Greta Gerwig,"Feb 20, 2015",Horror
s81,TV Show,Netflix Title 81,Steven Spielberg,"Mar 27, 2023",Horror
s82,Movie,Netflix Title 82,Greta Gerwig,"Feb 13, 2015",Comedies
s83,Movie,Netflix Title 83,nan,"Jan 6, 2018",Action
s84,Movie,Netflix Title 84,Christopher Nolan,"Mar 27, 2020",Dramas
s85,Movie,Netflix Title 85,Christopher Nolan,"Mar 14, 2021",Action
s86,Movie,Netflix Title 86,nan,"Jan 26, 2019",Action
s87,TV Show,Netflix Title 87,Christopher Nolan,"Jan 20, 2016",Comedies
s88,Movie,Netflix Title 88,Christopher Nolan,"Mar 13, 2015",Horror
s89,TV Show,Netflix Title 89,Christopher Nolan,"Feb 22, 2020",Action
s90,Movie,Netflix Title 90,Steven Spielberg,"Jan 27, 2017",Horror
s91,Movie,Netflix Title 91,Steven Spielberg,"Jan 19, 2017",Documentaries
s92,TV Show,Netflix Title 92,S.S. Rajamouli,"Feb 26, 2017",Horror
s93,TV Show,Netflix Title 93,Greta Gerwig,"Jan 5, 2018",Dramas
s94,Movie,Netflix Title 94,nan,"Jan 21, 2019",Dramas
s95,TV Show,Netflix Title 95,nan,"Feb 26, 2018",Action
s96,Movie,Netflix Title 96,nan,"Feb 7, 2021",Horror
s97,Movie,Netflix Title 97,S.S. Rajamouli,"Feb 3, 2015",Action
s98,Movie,Netflix Title 98,Steven Spielberg,"Jan 4, 2020",Comedies
s99,Movie,Netflix Title 99,S.S. Rajamouli,"Jan 22, 2023",Dramas
s100,Movie,Netflix Title 100,nan,"Mar 20, 2022",Action
s101,Movie,Netflix Title 101,Greta Gerwig,"Jan 4, 2019",Comedies
s102,Movie,Netflix Title 102,Christopher Nolan,"Feb 24, 2020",Action
s103,Movie,Netflix Title 103,Steven Spielberg,"Mar 3, 2021",Horror
s104,Movie,Netflix Title 104,Steven Spielberg,"Feb 24, 2020",Horror
s105,TV Show,Netflix Title 105,S.S. Rajamouli,"Mar 10, 2023",Horror
s106,Movie,Netflix Title 106,Steven Spielberg,"Jan 6, 2023",Horror
s107,Movie,Netflix Title 107,nan,"Jan 4, 2022",Documentaries
s108,TV Show,Netflix Title 108,nan,"Mar 20, 2016",Comedies
s109,Movie,Netflix Title 109,S.S. Rajamouli,"Feb 11, 2023",Comedies
s110,Movie,Netflix Title 110,nan,"Jan 4, 2016",Horror
s111,Movie,Netflix Title 111,Greta Gerwig,"Jan 27, 2021",Documentaries
s112,Movie,Netflix Title 112,S.S. Rajamouli,"Feb 15, 2016",Horror
s113,TV Show,Netflix Title 113,Greta Gerwig,"Mar 20, 2022",Documentaries
s114,TV Show,Netflix Title 114,Christopher Nolan,"Mar 16, 2021",Horror
s115,Movie,Netflix Title 115,Greta Gerwig,"Jan 10, 2022",Dramas
s116,TV Show,Netflix Title 116,Christopher Nolan,"Feb 25, 2019",Dramas
s117,TV Show,Netflix Title 117,Christopher Nolan,"Feb 21, 2016",Action
s118,Movie,Netflix Title 118,Greta Gerwig,"Jan 3, 2021",Horror
s119,TV Show,Netflix Title 119,S.S. Rajamouli,"Feb 5, 2022",Comedies
s120,Movie,Netflix Title 120,nan,"Jan 19, 2017",Action
s121,TV Show,Netflix Title 121,nan,"Jan 21, 2023",Dramas
s122,TV Show,Netflix Title 122,Christopher Nolan,"Jan 9, 2015",Horror
s123,Movie,Netflix Title 123,Christopher Nolan,"Feb 21, 2018",Action
s124,Movie,Netflix Title 124,S.S. Rajamouli,"Mar 10, 2023",Horror
s125,Movie,Netflix Title 125,Steven Spielberg,"Mar 22, 2021",Dramas
s126,Movie,Netflix Title 126,Greta Gerwig,"Jan 17, 2022",Action
s127,TV Show,Netflix Title 127,Christopher Nolan,"Jan 2, 2023",Dramas
s128,TV Show,Netflix Title 128,nan,"Mar 22, 2015",Documentaries
s129,Movie,Netflix Title 129,S.S. Rajamouli,"Jan 2, 2020",Dramas
s130,Movie,Netflix Title 130,Greta Gerwig,"Feb 6, 2016",Horror
s131,Movie,Netflix Title 131,S.S. Rajamouli,"Jan 10, 2019",Comedies
s132,Movie,Netflix Title 132,Greta Gerwig,"Jan 2, 2020",Dramas
s133,Movie,Netflix Title 133,Greta Gerwig,"Jan 2, 2016",Comedies
s134,Movie,Netflix Title 134,Christopher Nolan,"Mar 7, 2020",Documentaries
s135,TV Show,Netflix Title 135,S.S. Rajamouli,"Mar 8, 2020",Action
s136,Movie,Netflix Title 136,S.S. Rajamouli,"Mar 10, 2017",Action
s137,Movie,Netflix Title 137,nan,"Mar 17, 2021",Comedies
s138,TV Show,Netflix Title 138,nan,"Jan 20, 2018",Action
s139,Movie,Netflix Title 139,Christopher Nolan,"Feb 20, 2020",Dramas
s140,TV Show,Netflix Title 140,Christopher Nolan,"Mar 24, 2022",Comedies
s141,TV Show,Netflix Title 141,Steven Spielberg,"Jan 15, 2020",Horror
s142,Movie,Netflix Title 142,nan,"Feb 27, 2023",Dramas
s143,Movie,Netflix Title 143,Greta Gerwig,"Feb 26, 2015",Dramas
s144,Movie,Netflix Title 144,S.S. Rajamouli,"Mar 2, 2023",Dramas
s145,Movie,Netflix Title 145,Christopher Nolan,"Feb 3, 2022",Horror
s146,Movie,Netflix Title 146,S.S. Rajamouli,"Jan 10, 2018",Documentaries
s147,Movie,Netflix Title 147,S.S. Rajamouli,"Mar 6, 2021",Action
s148,Movie,Netflix Title 148,Steven Spielberg,"Mar 25, 2016",Comedies
s149,Movie,Netflix Title 149,nan,"Mar 19, 2019",Documentaries
s150,Movie,Netflix Title 150,Christopher Nolan,"Mar 11, 2022",Comedies
s151,TV Show,Netflix Title 151,S.S. Rajamouli,"Feb 8, 2022",Action
s152,Movie,Netflix Title 152,Christopher Nolan,"Jan 4, 2019",Horror
s153,Movie,Netflix Title 153,Greta Gerwig,"Jan 8, 2021",Dramas
s154,Movie,Netflix Title 154,Steven Spielberg,"Jan 15, 2022",Dramas
s155,TV Show,Netflix Title 155,Greta Gerwig,"Feb 10, 2018",Horror
s156,Movie,Netflix Title 156,Christopher Nolan,"Feb 12, 2016",Documentaries
s157,Movie,Netflix Title 157,Christopher Nolan,"Mar 16, 2017",Documentaries
s158,TV Show,Netflix Title 158,nan,"Jan 3, 2016",Comedies
s159,Movie,Netflix Title 159,S.S. Rajamouli,"Mar 8, 2020",Horror
s160,TV Show,Netflix Title 160,S.S. Rajamouli,"Jan 1, 2021",Documentaries
s161,Movie,Netflix Title 161,Greta Gerwig,"Jan 16, 2019",Horror
s162,Movie,Netflix Title 162,Steven Spielberg,"Feb 6, 2020",Action
s163,Movie,Netflix Title 163,S.S. Rajamouli,"Mar 9, 2021",Dramas
s164,Movie,Netflix Title 164,nan,"Jan 13, 2021",Dramas
s165,Movie,Netflix Title 165,Greta Gerwig,"Jan 21, 2016",Dramas
s166,TV Show,Netflix Title 166,Greta Gerwig,"Feb 26, 2021",Horror
s167,Movie,Netflix Title 167,nan,"Mar 5, 2023",Horror
s168,Movie,Netflix Title 168,Steven Spielberg,"Mar 1, 2018",Comedies
s169,Movie,Netflix Title 169,nan,"Jan 20, 2016",Dramas
s170,Movie,Netflix Title 170,Steven Spielberg,"Feb 5, 2017",Comedies
s171,Movie,Netflix Title 171,nan,"Jan 9, 2018",Dramas
s172,Movie,Netflix Title 172,nan,"Feb 18, 2020",Comedies
s173,Movie,Netflix Title 173,Christopher Nolan,"Mar 12, 2023",Comedies
s174,Movie,Netflix Title 174,Greta Gerwig,"Mar 2, 2023",Action
s175,Movie,Netflix Title 175,nan,"Jan 24, 2016",Comedies
s176,Movie,Netflix Title 176,nan,"Feb 3, 2019",Horror
s177,Movie,Netflix Title 177,S.S. Rajamouli,"Feb 1, 2019",Comedies
s178,Movie,Netflix Title 178,Greta Gerwig,"Mar 20, 2016",Dramas
s179,TV Show,Netflix Title 179,S.S. Rajamouli,"Jan 19, 2016",Comedies
s180,Movie,Netflix Title 180,Greta Gerwig,"Feb 11, 2023",Documentaries
s181,Movie,Netflix Title 181,S.S. Rajamouli,"Mar 16, 2020",Dramas
s182,Movie,Netflix Title 182,nan,"Jan 5, 2017",Documentaries
s183,TV Show,Netflix Title 183,nan,"Jan 20, 2016",Dramas
s184,TV Show,Netflix Title 184,Christopher Nolan,"Feb 3, 2022",Horror
s185,Movie,Netflix Title 185,S.S. Rajamouli,"Mar 7, 2020",Horror
s186,Movie,Netflix Title 186,Steven Spielberg,"Jan 20, 2015",Horror
s187,TV Show,Netflix Title 187,Christopher Nolan,"Mar 23, 2017",Documentaries
s188,Movie,Netflix Title 188,S.S. Rajamouli,"Feb 25, 2020",Action
s189,Movie,Netflix Title 189,S.S. Rajamouli,"Mar 21, 2017",Dramas
s190,Movie,Netflix Title 190,Christopher Nolan,"Jan 21, 2019",Horror
s191,Movie,Netflix Title 191,nan,"Feb 20, 2018",Dramas
s192,TV Show,Netflix Title 192,S.S. Rajamouli,"Jan 7, 2023",Documentaries
s193,TV Show,Netflix Title 193,nan,"Mar 13, 2016",Action
s194,Movie,Netflix Title 194,Christopher Nolan,"Mar 1, 2020",Documentaries
s195,Movie,Netflix Title 195,nan,"Mar 27, 2021",Dramas
s196,Movie,Netflix Title 196,Greta Gerwig,"Mar 27, 2016",Action
s197,TV Show,Netflix Title 197,Steven Spielberg,"Feb 6, 2018",Action
s198,TV Show,Netflix Title 198,S.S. Rajamouli,"Jan 8, 2017",Documentaries
s199,TV Show,Netflix Title 199,Steven Spielberg,"Mar 14, 2018",Horror
s200,TV Show,Netflix Title 200,nan,"Jan 25, 2022",Dramas
s201,Movie,Netflix Title 201,S.S. Rajamouli,"Feb 26, 2020",Comedies
s202,Movie,Netflix Title 202,nan,"Mar 22, 2023",Comedies
s203,Movie,Netflix Title 203,Greta Gerwig,"Mar 14, 2017",Documentaries
s204,TV Show,Netflix Title 204,Christopher Nolan,"Mar 10, 2017",Dramas
s205,Movie,Netflix Title 205,S.S. Rajamouli,"Jan 20, 2021",Dramas
s206,Movie,Netflix Title 206,Greta Gerwig,"Feb 9, 2021",Documentaries
s207,Movie,Netflix Title 207,Greta Gerwig,"Jan 19, 2018",Dramas
s208,Movie,Netflix Title 208,S.S. Rajamouli,"Feb 24, 2020",Horror
s209,Movie,Netflix Title 209,nan,"Jan 4, 2022",Documentaries
s210,Movie,Netflix Title 210,Greta Gerwig,"Jan 9, 2015",Horror
s211,Movie,Netflix Title 211,Steven Spielberg,"Jan 14, 2019",Dramas
s212,Movie,Netflix Title 212,Greta Gerwig,"Mar 9, 2023",Documentaries
s213,Movie,Netflix Title 213,nan,"Mar 4, 2022",Dramas
s214,Movie,Netflix Title 214,nan,"Feb 9, 2020",Documentaries
s215,TV Show,Netflix Title 215,Steven Spielberg,"Jan 24, 2021",Dramas
s216,Movie,Netflix Title 216,Greta Gerwig,"Jan 17, 2017",Horror
s217,Movie,Netflix Title 217,nan,"Mar 14, 2016",Horror
s218,TV Show,Netflix Title 218,S.S. Rajamouli,"Jan 21, 2019",Dramas
s219,Movie,Netflix Title 219,Christopher Nolan,"Jan 3, 2015",Documentaries
s220,TV Show,Netflix Title 220,Christopher Nolan,"Jan 9, 2023",Comedies
s221,Movie,Netflix Title 221,Christopher Nolan,"Mar 17, 2016",Horror
s222,Movie,Netflix Title 222,Greta Gerwig,"Jan 8, 2021",Horror
s223,Movie,Netflix Title 223,Steven Spielberg,"Mar 8, 2020",Comedies
s224,Movie,Netflix Title 224,nan,"Feb 15, 2023",Dramas
s225,Movie,Netflix Title 225,S.S. Rajamouli,"Mar 26, 2018",Documentaries
s226,Movie,Netflix Title 226,S.S. Rajamouli,"Jan 22, 2022",Dramas
s227,TV Show,Netflix Title 227,Greta Gerwig,"Jan 19, 2020",Action
s228,Movie,Netflix Title 228,Christopher Nolan,"Jan 19, 2018",Horror
s229,TV Show,Netflix Title 229,Greta Gerwig,"Mar 7, 2018",Action
s230,Movie,Netflix Title 230,Steven Spielberg,"Feb 12, 2017",Horror
s231,TV Show,Netflix Title 231,Steven Spielberg,"Feb 12, 2016",Horror
s232,Movie,Netflix Title 232,nan,"Feb 27, 2021",Action
s233,Movie,Netflix Title 233,nan,"Jan 1, 2022",Action
s234,Movie,Netflix Title 234,Steven Spielberg,"Mar 6, 2020",Dramas
s235,Movie,Netflix Title 235,Steven Spielberg,"Feb 25, 2016",Action
s236,TV Show,Netflix Title 236,Steven Spielberg,"Jan 12, 2020",Dramas
s237,Movie,Netflix Title 237,Greta Gerwig,"Feb 27, 2022",Dramas
s238,Movie,Netflix Title 238,Steven Spielberg,"Mar 10, 2015",Dramas
s239,Movie,Netflix Title 239,S.S. Rajamouli,"Jan 13, 2015",Horror
s240,Movie,Netflix Title 240,Christopher Nolan,"Mar 8, 2017",Horror
s241,TV Show,Netflix Title 241,Steven Spielberg,"Jan 20, 2022",Action
s242,TV Show,Netflix Title 242,Christopher Nolan,"Jan 13, 2020",Horror
s243,TV Show,Netflix Title 243,Greta Gerwig,"Jan 14, 2015",Action
s244,Movie,Netflix Title 244,Christopher Nolan,"Feb 8, 2018",Horror
s245,Movie,Netflix Title 245,Greta Gerwig,"Jan 26, 2021",Documentaries
s246,TV Show,Netflix Title 246,S.S. Rajamouli,"Jan 21, 2015",Documentaries
s247,Movie,Netflix Title 247,Greta Gerwig,"Feb 10, 2020",Action
s248,TV Show,Netflix Title 248,Greta Gerwig,"Feb 9, 2023",Horror
s249,TV Show,Netflix Title 249,nan,"Jan 17, 2023",Horror
s250,TV Show,Netflix Title 250,Steven Spielberg,"Jan 24, 2019",Dramas
s251,Movie,Netflix Title 251,Steven Spielberg,"Mar 27, 2021",Comedies
s252,Movie,Netflix Title 252,S.S. Rajamouli,"Mar 9, 2021",Action
s253,TV Show,Netflix Title 253,S.S. Rajamouli,"Jan 11, 2017",Comedies
s254,Movie,Netflix Title 254,Steven Spielberg,"Mar 13, 2015",Comedies
s255,Movie,Netflix Title 255,nan,"Mar 12, 2022",Action
s256,Movie,Netflix Title 256,Steven Spielberg,"Jan 21, 2015",Horror
s257,TV Show,Netflix Title 257,nan,"Jan 26, 2021",Action
s258,Movie,Netflix Title 258,S.S. Rajamouli,"Feb 5, 2022",Comedies
s259,Movie,Netflix Title 259,Christopher Nolan,"Jan 27, 2021",Horror
s260,Movie,Netflix Title 260,S.S. Rajamouli,"Feb 13, 2021",Documentaries
s261,Movie,Netflix Title 261,S.S. Rajamouli,"Jan 15, 2018",Action
s262,TV Show,Netflix Title 262,Greta Gerwig,"Feb 18, 2016",Action
s263,Movie,Netflix Title 263,Greta Gerwig,"Feb 1, 2018",Horror
s264,Movie,Netflix Title 264,Greta Gerwig,"Feb 5, 2017",Documentaries
s265,TV Show,Netflix Title 265,Greta Gerwig,"Mar 8, 2018",Documentaries
s266,TV Show,Netflix Title 266,nan,"Jan 1, 2017",Horror
s267,Movie,Netflix Title 267,Steven Spielberg,"Mar 9, 2021",Dramas
s268,TV Show,Netflix Title 268,Christopher Nolan,"Feb 9, 2016",Action
s269,Movie,Netflix Title 269,S.S. Rajamouli,"Mar 11, 2016",Action
s270,Movie,Netflix Title 270,nan,"Mar 22, 2023",Comedies
s271,TV Show,Netflix Title 271,Christopher Nolan,"Jan 7, 2017",Horror
s272,TV Show,Netflix Title 272,nan,"Feb 27, 2019",Comedies
s273,TV Show,Netflix Title 273,nan,"Feb 6, 2017",Comedies
s274,TV Show,Netflix Title 274,S.S. Rajamouli,"Feb 8, 2016",Documentaries
s275,Movie,Netflix Title 275,Steven Spielberg,"Jan 9, 2017",Action
s276,Movie,Netflix Title 276,Greta Gerwig,"Mar 1, 2021",Comedies
s277,TV Show,Netflix Title 277,Steven Spielberg,"Jan 15, 2019",Documentaries
s278,Movie,Netflix Title 278,S.S. Rajamouli,"Jan 17, 2023",Horror
s279,TV Show,Netflix Title 279,S.S. Rajamouli,"Mar 24, 2023",Comedies
s280,TV Show,Netflix Title 280,S.S. Rajamouli,"Feb 21, 2020",Action
s281,TV Show,Netflix Title 281,Christopher Nolan,"Mar 18, 2018",Comedies
s282,Movie,Netflix Title 282,Steven Spielberg,"Mar 13, 2021",Horror
s283,Movie,Netflix Title 283,Steven Spielberg,"Jan 21, 2020",Comedies
s284,Movie,Netflix Title 284,nan,"Feb 12, 2016",Action
s285,Movie,Netflix Title 285,nan,"Mar 3, 2023",Documentaries
s286,Movie,Netflix Title 286,nan,"Mar 23, 2022",Action
s287,Movie,Netflix Title 287,S.S. Rajamouli,"Mar 16, 2023",Documentaries
s288,Movie,Netflix Title 288,Steven Spielberg,"Feb 4, 2015",Dramas
s289,Movie,Netflix Title 289,S.S. Rajamouli,"Mar 2, 2022",Action
s290,Movie,Netflix Title 290,Christopher Nolan,"Jan 7, 2018",Action
s291,Movie,Netflix Title 291,nan,"Jan 24, 2015",Horror
s292,Movie,Netflix Title 292,S.S. Rajamouli,"Jan 15, 2018",Comedies
s293,TV Show,Netflix Title 293,S.S. Rajamouli,"Mar 10, 2016",Documentaries
s294,Movie,Netflix Title 294,Christopher Nolan,"Mar 11, 2015",Documentaries
s295,Movie,Netflix Title 295,Greta Gerwig,"Jan 6, 2019",Horror
s296,Movie,Netflix Title 296,Steven Spielberg,"Feb 16, 2018",Horror
s297,TV Show,Netflix Title 297,Greta Gerwig,"Feb 1, 2018",Comedies
s298,Movie,Netflix Title 298,nan,"Jan 13, 2016",Comedies
s299,Movie,Netflix Title 299,S.S. Rajamouli,"Jan 24, 2022",Action
s300,Movie,Netflix Title 300,Christopher Nolan,"Mar 3, 2018",Dramas
s301,Movie,Netflix Title 301,Christopher Nolan,"Feb 27, 2020",Comedies
s302,Movie,Netflix Title 302,Steven Spielberg,"Mar 27, 2017",Horror
s303,Movie,Netflix Title 303,Greta Gerwig,"Feb 6, 2019",Comedies
s304,Movie,Netflix Title 304,Steven Spielberg,"Feb 10, 2019",Documentaries
s305,TV Show,Netflix Title 305,S.S. Rajamouli,"Feb 5, 2019",Dramas
s306,TV Show,Netflix Title 306,Steven Spielberg,"Mar 23, 2020",Action
s307,Movie,Netflix Title 307,Christopher Nolan,"Feb 9, 2015",Documentaries
s308,Movie,Netflix Title 308,Christopher Nolan,"Jan 13, 2018",Documentaries
s309,TV Show,Netflix Title 309,nan,"Jan 13, 2020",Dramas
s310,Movie,Netflix Title 310,nan,"Jan 5, 2023",Action
s311,Movie,Netflix Title 311,S.S. Rajamouli,"Jan 13, 2016",Horror
s312,Movie,Netflix Title 312,Greta Gerwig,"Jan 22, 2019",Action
s313,Movie,Netflix Title 313,Steven Spielberg,"Mar 23, 2017",Comedies
s314,TV Show,Netflix Title 314,S.S. Rajamouli,"Mar 10, 2016",Documentaries
s315,TV Show,Netflix Title 315,nan,"Jan 19, 2015",Comedies
s316,Movie,Netflix Title 316,Steven Spielberg,"Jan 14, 2019",Horror
s317,Movie,Netflix Title 317,nan,"Mar 7, 2018",Comedies
s318,Movie,Netflix Title 318,Steven Spielberg,"Mar 1, 2022",Action
s319,Movie,Netflix Title 319,Greta Gerwig,"Jan 3, 2016",Comedies
s320,Movie,Netflix Title 320,S.S. Rajamouli,"Mar 4, 2017",Horror
s321,Movie,Netflix Title 321,Steven Spielberg,"Jan 17, 2017",Horror
s322,TV Show,Netflix Title 322,Christopher Nolan,"Feb 8, 2020",Horror
s323,Movie,Netflix Title 323,Christopher Nolan,"Jan 24, 2017",Action
s324,Movie,Netflix Title 324,Steven Spielberg,"Jan 7, 2019",Horror
s325,TV Show,Netflix Title 325,Steven Spielberg,"Jan 17, 2019",Documentaries
s326,TV Show,Netflix Title 326,Steven Spielberg,"Feb 19, 2019",Horror
s327,Movie,Netflix Title 327,Christopher Nolan,"Feb 11, 2020",Comedies
s328,Movie,Netflix Title 328,Christopher Nolan,"Jan 15, 2020",Comedies
s329,Movie,Netflix Title 329,Steven Spielberg,"Jan 22, 2021",Comedies
s330,Movie,Netflix Title 330,nan,"Jan 17, 2022",Action
s331,Movie,Netflix Title 331,nan,"Jan 14, 2020",Comedies
s332,TV Show,Netflix Title 332,Greta Gerwig,"Jan 19, 2017",Action
s333,Movie,Netflix Title 333,S.S. Rajamouli,"Feb 16, 2018",Action
s334,Movie,Netflix Title 334,nan,"Feb 23, 2018",Horror
s335,Movie,Netflix Title 335,Christopher Nolan,"Feb 11, 2015",Documentaries
s336,Movie,Netflix Title 336,nan,"Feb 24, 2021",Horror
s337,TV Show,Netflix Title 337,Greta Gerwig,"Mar 27, 2023",Horror
s338,TV Show,Netflix Title 338,Greta Gerwig,"Mar 18, 2015",Action
s339,Movie,Netflix Title 339,S.S. Rajamouli,"Mar 21, 2016",Action
s340,Movie,Netflix Title 340,nan,"Mar 15, 2018",Comedies
s341,Movie,Netflix Title 341,Christopher Nolan,"Mar 13, 2017",Comedies
s342,Movie,Netflix Title 342,Christopher Nolan,"Mar 9, 2022",Horror
